Day,Play_Number,Time_Post_Snap_s,Receiver,Openness_yds,Defender_ID,Y_yds,X_yds
DAY 3 (03-22-2026),2,0.96,R2,,,13.63,49.9
DAY 3 (03-22-2026),2,0.98,R1,,,8.5,16.77
DAY 3 (03-22-2026),2,0.98,R2,,,13.68,49.9
DAY 3 (03-22-2026),2,0.99,R1,0.52,90001,8.61,16.71
DAY 3 (03-22-2026),2,0.99,R2,5.01,90009,13.68,49.92
DAY 3 (03-22-2026),2,1.01,R1,0.52,90001,9.06,16.19
DAY 3 (03-22-2026),2,1.01,R2,5.01,90009,13.77,50.03
DAY 3 (03-22-2026),2,1.01,R4,5.07,90170,22.43,55.65
DAY 3 (03-22-2026),2,1.03,R1,0.52,90001,9.21,15.99
DAY 3 (03-22-2026),2,1.03,R2,4.91,101,13.81,50.05
DAY 3 (03-22-2026),2,1.03,R4,5.07,90170,22.49,55.65
DAY 3 (03-22-2026),2,1.05,R1,0.52,90001,9.48,15.64
DAY 3 (03-22-2026),2,1.05,R2,4.91,101,13.89,50.1
DAY 3 (03-22-2026),2,1.05,R4,5.07,90170,22.7,55.72
DAY 3 (03-22-2026),2,1.06,R1,0.52,90001,9.57,15.5
DAY 3 (03-22-2026),2,1.06,R2,4.86,101,13.91,50.13
DAY 3 (03-22-2026),2,1.06,R4,5.07,90170,22.78,55.75
DAY 3 (03-22-2026),2,1.08,R1,0.52,90001,9.83,15.12
DAY 3 (03-22-2026),2,1.08,R2,4.74,101,14.0,50.23
DAY 3 (03-22-2026),2,1.08,R4,5.07,90170,23.06,55.77
DAY 3 (03-22-2026),2,1.1,R1,0.52,90001,9.92,14.98
DAY 3 (03-22-2026),2,1.1,R2,4.7,101,14.02,50.23
DAY 3 (03-22-2026),2,1.1,R4,5.04,87,23.16,55.77
DAY 3 (03-22-2026),2,1.12,R1,0.52,90001,10.19,14.98
DAY 3 (03-22-2026),2,1.12,R2,4.61,101,14.09,50.4
DAY 3 (03-22-2026),2,1.13,R1,0.52,90001,10.28,14.98
DAY 3 (03-22-2026),2,1.13,R2,4.56,101,14.12,50.45
DAY 3 (03-22-2026),2,1.15,R1,0.52,90001,10.41,14.95
DAY 3 (03-22-2026),2,1.15,R2,4.49,101,14.17,50.45
DAY 3 (03-22-2026),2,1.17,R1,0.52,90001,10.46,14.98
DAY 3 (03-22-2026),2,1.17,R2,4.45,101,14.18,50.45
DAY 3 (03-22-2026),2,1.18,R1,0.52,90001,10.64,14.6
DAY 3 (03-22-2026),2,1.18,R2,4.38,101,14.23,50.48
DAY 3 (03-22-2026),2,1.18,R4,4.69,87,23.72,55.22
DAY 3 (03-22-2026),2,1.2,R1,0.52,90001,10.71,14.49
DAY 3 (03-22-2026),2,1.2,R2,4.32,101,14.27,50.5
DAY 3 (03-22-2026),2,1.2,R4,4.67,87,23.74,55.17
DAY 3 (03-22-2026),2,1.22,R1,0.52,90001,10.78,14.26
DAY 3 (03-22-2026),2,1.22,R2,4.28,101,14.3,50.53
DAY 3 (03-22-2026),2,1.24,R1,0.52,90001,10.8,14.14
DAY 3 (03-22-2026),2,1.24,R2,4.24,101,14.31,50.53
DAY 3 (03-22-2026),2,1.25,R1,0.52,90001,11.23,13.68
DAY 3 (03-22-2026),2,1.25,R2,4.19,101,14.34,50.66
DAY 3 (03-22-2026),2,1.25,R4,4.67,87,23.96,55.37
DAY 3 (03-22-2026),2,1.27,R1,0.52,90001,11.39,13.5
DAY 3 (03-22-2026),2,1.27,R2,4.17,101,14.34,50.66
DAY 3 (03-22-2026),2,1.27,R4,4.67,87,23.97,55.42
DAY 3 (03-22-2026),2,1.29,R1,0.52,90001,11.52,12.98
DAY 3 (03-22-2026),2,1.29,R2,4.14,101,14.36,50.76
DAY 3 (03-22-2026),2,1.29,R4,4.57,87,24.13,55.52
DAY 3 (03-22-2026),2,1.31,R1,0.52,90001,11.56,12.78
DAY 3 (03-22-2026),2,1.31,R2,4.13,101,14.36,50.78
DAY 3 (03-22-2026),2,1.31,R4,4.57,87,24.18,55.55
